Source Sentence,Target Sentence
"2. If the answer to the preceding question is in the negative, is the rule established by Art. 30 (4) of Directive 93/37/EEC or the similar rule contained in Art. 55 (1) and (2) of Directive 2004/18/EC (in cases where that is the relevant provision), according to which, if tenders appear to be abnormally low in relation to the works, the contracting authority shall, before it may reject those tenders, request, in writing, details of the constituent elements of the tender which it considers relevant and shall verify those constituent elements taking account of the explanations received, while not presenting the characteristics of a fundamental principle of Community law, nevertheless an implied consequence of or a principle deriving from the principle of competition, considered in conjunction with the principles of administrative transparency and non-discrimination on grounds of nationality and is it therefore, as such, directly binding, taking precedence over possibly incompatible national provisions adopted by the Member States to regulate public works contracts to which Community law is not directly applicable?","2) En cas de réponse négative à la question précédente, si elle ne revêt pas les caractéristiques d'un principe fondamental du droit communautaire, la règle établie à l'article 30 paragraphe 4 de la directive 93/37/CEE, ou celle analogue figurant aux paragraphes 1 et 2 de l'article 55 de la directive 2004/18/CE (si c'est ce dernier qui est considéré comme applicable), selon laquelle, lorsque les offres apparaissent anormalement basses par rapport à la prestation, le pouvoir adjudicateur, avant de pouvoir rejeter ces offres, doit demander, par écrit, des précisions sur la composition de l'offre qu'il juge opportunes et vérifier cette composition en tenant compte des justifications fournies, forme-t-elle un corollaire implicite ou un %quot%principe dérivé%quot% du principe de concurrence, pris en combinaison avec le principe de la transparence administrative et le principe de non-discrimination en raison de la nationalité, et doit-elle par conséquent être considérée comme directement applicable et comme primant sur les dispositions nationales éventuellement non conformes, prise par les États membres pour réglementer les procédures d'attribution de marchés publics échappant au champ d'application directe du droit communautaire?"
"[1] OJ L 199, p. 54.","[1] JO L 199, page 54."
"[2] OJ L 134, p. 114.","[2] JO L 134, page 114."
--------------------------------------------------,--------------------------------------------------
Reference for a preliminary ruling from the College van Beroep voor het bedrijfsleven lodged on 23 March 2006 — Stichting ROM-projecten v Staatssecretaris van Economische Zaken,Demande de décision préjudicielle présentée par le College van Beroep voor het bedrijfsleven (Pays-Bas) le 23 mars 2006 — Stichting ROM-projecten/Staatssecretaris van Economische Zaken
Referring court,Juridiction de renvoi
College van Beroep voor het bedrijfsleven,College van Beroep voor het bedrijfsleven (Pays-Bas).
Parties to the main proceedings,Parties dans la procédure au principal
Applicants: Stichting ROM-projecten,Partie requérante: Stichting ROM-projecten.
Defendants: Staatssecretaris van Economische Zaken,Partie défenderesse: Staatssecretaris van Economische Zaken.
Questions referred,Questions préjudicielles
1. Is Article 6 of the Commission Decision of 16 October 1995 concerning a contribution from the European Regional Development Fund (ERDF) and the European Social Fund (ESF) for an operational programme within the framework of the SME Community initiative for the benefit of areas eligible under Objectives 1 and 2 in the Netherlands (C(95) 1753) unconditional and sufficiently clear and precise to be directly applicable in the national legal order?,"1. L'article 6 de la décision de la Commission du 16 octobre 1995, concernant l'octroi d'un concours du Fonds européen de développement régional (FEDER) et du Fonds social européen (FSE) pour un programme opérationnel dans le cadre de l'initiative communautaire PME, au bénéfice de zones éligibles au titre des objectifs 1 et 2 aux Pays-Bas (C(95)1753), constitue-t-il une disposition inconditionnelle et suffisamment précise pour être directement applicable dans l'ordre juridique national?"
2. If the answer to question 1 is in the affirmative:,2. En cas de réponse affirmative à la première question:
"Must Article 249 EC be interpreted as meaning that Article 6 of that decision has a direct effect so as to require an individual, as a final beneficiary, to enter into the legally binding commitments referred to in that respect and to specifically allocate the requisite finance no later than 31 December 1999?",L'article 249 CE doit-il être interprété en ce sens que l'article 6 de la décision précitée impose directement au justiciable ayant la qualité de bénéficiaire final de prendre des dispositions juridiques obligatoires et d'engager spécifiquement les moyens financiers nécessaires au plus tard le 31 décembre 1999?
3. If the answer to question 2 is in the affirmative:,3. En cas de réponse affirmative à la deuxième question:
"Does Article 38(1)(h) of Council Regulation (EC) No 1260/1999 [1] of 21 June 1999 laying down general provisions on the Structural Funds, viewed in the light of the principles of Community law, leave the Member States scope to refrain from recovery on account of an infringement of a provision where the subsidy beneficiary concerned was unaware of that provision and is not at fault for its lack of knowledge of that provision?","Considéré à la lumière des principes du droit communautaire, l'article 38, paragraphe 1, initio et sous h), du règlement (CE) no 1260/1999 [1] du Conseil du 21 juin 1999 portant dispositions générales sur les Fonds structurels laisse-t-il aux États membres une marge d'appréciation leur permettant de renoncer à la récupération pour violation d'une disposition lorsque le bénéficiaire de la subvention ne connaissait pas cette disposition et que cette ignorance ne peut lui être reprochée?"
